"Estimate","Std. Error","z value","Pr(>|z|)","Term"
-2.19543620600893,0.728222919311776,-3.01478592308489,0.00257160695573783,"(Intercept)"
0.149971331367054,0.0864894036762147,1.73398503160563,0.0829207390709025,"Temp_c"
-0.0190825060674233,0.00352130527864553,-5.41915697657529,5.98807232012375e-08,"I(Temp_c^2)"
0.0014118656348044,0.000601370274889807,2.34774762530973,0.018887313916576,"Solar_c"
-0.040011078969417,0.0276062918051705,-1.44934637552165,0.147240876070036,"Humidity_c"
-0.63551682662601,0.186111280730589,-3.41471416526315,0.000638489764196338,"Wind_c"
-0.0612163049745518,0.648462084683767,-0.0944022887697511,0.924789597751447,"Plant.ID2"
0.174860613086237,0.686911446956505,0.254560633486298,0.799062467576885,"Plant.ID3"
-1.16621960719099,0.63754013462339,-1.82924892701838,0.0673623258861989,"Plant.ID4"
-0.0356587582075349,0.781758677872195,-0.0456135111983554,0.963618300002837,"Plant.ID5"
-1.17739348204897,0.629539448316588,-1.87024575695353,0.0614496982617337,"Plant.ID7"
1.13892493072881,0.638156035064565,1.78471230882206,0.0743079933667854,"Plant.ID8"
-0.998136886549642,0.566325421168935,-1.76247939654451,0.0779883344694501,"Plant.ID9"
-0.637441288877496,0.709889329137232,-0.897944598846433,0.369215086116653,"Plant.ID10"
1.33068737547979,0.65834275960806,2.02126833789743,0.0432519948795982,"Plant.ID11"
3.17854261823764,1.24142206213638,2.56040448706676,0.010455039792783,"Plant.ID12"
2.84788364260103,0.82571708642178,3.44898233236549,0.000562703517914294,"Plant.ID14"
