"Estimate","Std. Error","z value","Pr(>|z|)","Term"
4.28055958122206,0.723058879595543,5.9200705530599,3.21803536977021e-09,"(Intercept)"
0.054811925105523,0.0508207514885208,1.07853432899165,0.280795370338853,"Temperature_c"
-0.00990125637239354,0.00419945684601155,-2.35774690286371,0.0183862238680748,"I(Temperature_c^2)"
-4.35378729922998,0.513663434850187,-8.47595332632504,2.33162228265914e-17,"GroupButterfly"
-4.2234916524396,0.497952364374425,-8.481718241755,2.2189238233273e-17,"GroupHoneybee"
-4.03275426023161,0.463372923790737,-8.70304252402292,3.23102778353205e-18,"GroupHoverfly"
-25.3661886098855,6243.90136732965,-0.00406255434184316,0.996758559529533,"GroupNon-syrphid Fly"
0.0542953645204599,0.409801045876622,0.132492010615333,0.894595141922672,"Time.Period2"
0.210550035942975,0.445489881390394,0.472625854678986,0.636480133320736,"Time.Period3"
-0.394553740689929,0.754813799201339,-0.52271665026183,0.601171449647927,"Plant.ID2"
-0.708423447179427,0.702466845153619,-1.00847954898783,0.313224300791172,"Plant.ID3"
-1.15555569113701,0.800502079475466,-1.443538650011,0.148868792977768,"Plant.ID4"
-0.66842104187417,0.852481511198684,-0.784088608484066,0.432988119156369,"Plant.ID5"
-1.90400791198694,0.878006873803672,-2.16855695415967,0.0301163362231709,"Plant.ID7"
0.13276109904918,0.70703348779587,0.1877720098705,0.851055378341893,"Plant.ID8"
-2.30183645475759,0.773287454939338,-2.97668925062047,0.00291379183699074,"Plant.ID9"
-1.73954634299052,0.92305855157896,-1.88454604533471,0.0594911526217276,"Plant.ID10"
-1.47296151620929,0.80050856101832,-1.84003218445977,0.0657635123410222,"Plant.ID11"
-1.19501961812159,1.07129463982169,-1.11549108312583,0.264640037448221,"Plant.ID12"
1.66585573167937,0.844498262870417,1.97259817446775,0.0485413611678928,"Plant.ID14"
0.248171562348883,0.0688265496639135,3.60575335478429,0.000311248656581685,"Temperature_c:GroupButterfly"
0.0389488224072001,0.0704793250912393,0.552627630255806,0.580518418031797,"Temperature_c:GroupHoneybee"
-0.0712251140718363,0.0682077336658281,-1.04423809799621,0.296375244520507,"Temperature_c:GroupHoverfly"
-0.135784528948178,1299.49803555209,-0.000104489984004085,0.999916629055156,"Temperature_c:GroupNon-syrphid Fly"
