"Network","Plant_Nodes","Pollinator_Nodes","Total_Visits","Number_of_Links","Connectance","Weighted_NODF","Modularity_Q"
"Site 1",7,18,840,44,0.349,23.36,0.468
"Site 2",5,14,1231,30,0.429,36.61,0.324
