"Time.Period","response","SE","df","asymp.LCL","asymp.UCL"
"1",5.49650515858695,2.22358276043404,Inf,2.48735317234131,12.1460712914906
"2",18.2863172719171,6.22374621184781,Inf,9.38468916042395,35.6313771988703
"3",10.6400566341399,3.88254491789993,Inf,5.20404970927762,21.754366599511
